"Country/Area","Year","Unit","GDP, Per Capita GDP - US Dollars"
"Spain","2021","US$","30058.387244713747"
"Sri Lanka","2019","US$","3875.467126331257"
"Sri Lanka","2020","US$","3728.731610024433"
"Sri Lanka","2021","US$","3918.0191676061354"
"State of Palestine","2019","US$","3489.67111527514"
"State of Palestine","2020","US$","3094.3333676667794"
"State of Palestine","2021","US$","3513.6221819802577"
"Sub-Saharan Africa","2019","US$","1673.8472587550775"
"Sub-Saharan Africa","2020","US$","1517.793251342642"
"Sub-Saharan Africa","2021","US$","1647.6795999810508"
"Sudan","2019","US$","812.3348852441881"
"Sudan","2020","US$","771.4996198437685"
"Sudan","2021","US$","785.5772952207608"
"Suriname","2019","US$","7087.787593483165"
"Suriname","2020","US$","6851.185420347507"
"Suriname","2021","US$","5259.2629718757535"
"Sweden","2019","US$","51994.89528538041"
"Sweden","2020","US$","52758.781922858085"
"Sweden","2021","US$","60729.71342500841"
"Switzerland","2019","US$","85325.75045532985"
"Switzerland","2020","US$","87079.72515149253"
"Switzerland","2021","US$","93525.3661913239"
"Syrian Arab Republic","2019","US$","1323.3348180767969"
"Syrian Arab Republic","2020","US$","1117.2473183239847"
"Syrian Arab Republic","2021","US$","924.7117833166537"
"Tajikistan","2019","US$","889.0233718075257"
"Tajikistan","2020","US$","852.3302295897907"
"Tajikistan","2021","US$","897.0514764239653"
"Thailand","2019","US$","7630.038189331742"
"Thailand","2020","US$","6998.537376237617"
"Thailand","2021","US$","7066.675486756309"
"Timor-Leste","2019","US$","1599.3993719336665"
"Timor-Leste","2020","US$","1463.2031777045297"
"Timor-Leste","2021","US$","1517.2238811393688"
"Togo","2019","US$","848.3045343333605"
"Togo","2020","US$","868.8956337945301"
"Togo","2021","US$","943.9393541119674"
"Tonga","2019","US$","4839.534725533826"
"Tonga","2020","US$","4626.1780579893375"
"Tonga","2021","US$","4450.53149261273"
"Trinidad and Tobago","2019","US$","15691.162067178511"
"Trinidad and Tobago","2020","US$","13871.798219471475"
"Trinidad and Tobago","2021","US$","16032.502768209933"
"Tunisia","2019","US$","3477.84427052074"
"Tunisia","2020","US$","3497.7332305726854"
"Tunisia","2021","US$","3807.1845631020587"
"Turkmenistan","2019","US$","7459.533212090114"
"Turkmenistan","2020","US$","7381.050057154852"
"Turkmenistan","2021","US$","8507.667600185028"
"Turks and Caicos Islands","2019","US$","27795.148560817084"
"Turks and Caicos Islands","2020","US$","20882.261270214112"
"Turks and Caicos Islands","2021","US$","20908.581992286207"
"Tuvalu","2019","US$","4942.806306507899"
"Tuvalu","2020","US$","4675.395969392798"
"Tuvalu","2021","US$","5370.419270528364"
"Türkiye","2019","US$","9103.01239655239"
"Türkiye","2020","US$","8561.064332806189"
"Türkiye","2021","US$","9661.227734204242"
"Uganda","2019","US$","879.5241424518402"
"Uganda","2020","US$","857.1360264130907"
"Uganda","2021","US$","930.3723623450493"
"Ukraine","2019","US$","3480.6432413758193"
"Ukraine","2020","US$","3566.816467842271"
"Ukraine","2021","US$","4596.34917496562"
"United Arab Emirates","2019","US$","45292.12925681129"
"United Arab Emirates","2020","US$","38463.161997482624"
"United Arab Emirates","2021","US$","43295.39308165127"
"United Kingdom of Great Britain and Northern Ireland","2019","US$","42783.9955269695"
"United Kingdom of Great Britain and Northern Ireland","2020","US$","40331.499768222915"
"United Kingdom of Great Britain and Northern Ireland","2021","US$","46541.756926880305"
"United Republic of Tanzania: Mainland","2019","US$","1047.7233755418326"
"United Republic of Tanzania: Mainland","2020","US$","1097.6014508314865"
"United Republic of Tanzania: Mainland","2021","US$","1136.190395169359"
"United Republic of Tanzania: Zanzibar","2019","US$","1111.8412669366794"
"United Republic of Tanzania: Zanzibar","2020","US$","1097.528187694491"
"United Republic of Tanzania: Zanzibar","2021","US$","1211.2019174319107"
"United States","2019","US$","63953.68820520286"
"United States","2020","US$","62690.80320986239"
"United States","2021","US$","69184.70440017109"
"Uruguay","2019","US$","17859.944160530853"
"Uruguay","2020","US$","15619.545753690749"
"Uruguay","2021","US$","17312.641777909364"
"Uzbekistan","2019","US$","1816.6530761872675"
"Uzbekistan","2020","US$","1786.4682105298293"
"Uzbekistan","2021","US$","2031.5715791941673"
"Vanuatu","2019","US$","3089.492785758039"
"Vanuatu","2020","US$","2917.7568490893273"
"Vanuatu","2021","US$","3072.5722206429637"
"Venezuela (Bolivarian Republic of)","2019","US$","5183.178987504016"
"Venezuela (Bolivarian Republic of)","2020","US$","3738.051589024188"
"Venezuela (Bolivarian Republic of)","2021","US$","3965.034328095608"
"Viet Nam","2019","US$","3491.0914086215353"
"Viet Nam","2020","US$","3586.347175792472"
"Viet Nam","2021","US$","3756.4889009138597"
"Western Africa","2019","US$","1824.69392205432"
"Western Africa","2020","US$","1695.5671907363962"
"Western Africa","2021","US$","1732.974995524892"
"Western Asia","2019","US$","11706.02085814011"
"Western Asia","2020","US$","10329.151853838039"
"Western Asia","2021","US$","11865.098449193343"
"Western Europe","2019","US$","47356.99106227525"
"Western Europe","2020","US$","46803.56645960767"
"Western Europe","2021","US$","51681.147890526554"
"World","2019","US$","11301.056860173123"
"World","2020","US$","10883.085098216763"
"World","2021","US$","12229.120883010406"
"Yemen","2019","US$","411.4603675517613"
"Yemen","2020","US$","291.6790742882007"
"Yemen","2021","US$","301.5864334096286"
"Zambia","2019","US$","1268.2131283970016"
"Zambia","2020","US$","956.8317473480374"
"Zambia","2021","US$","1094.50161325854"
"Zimbabwe","2019","US$","1471.5139829685004"
"Zimbabwe","2020","US$","1382.5914262626911"
"Zimbabwe","2021","US$","1507.9947898912085"
